HOG	OG	Gene Tree Parent Clade	Arabidopsis_thaliana	Beta_vulgaris	Betula_pendula	Camellia_sinensis	Cinnamomum_kanehirae	Cucumis_sativus	Eucalyptus_grandis	Ginkgo_biloba	Malania_oleifera	Malus_domestica	Medicago_truncatula	Mimulus_guttatus	Nicotiana_tabacum	Physcomitrella_patens	Picea_abies	Pinus_tabuliformis	Populus_tremula	Prunus_avium	Salix_purpurea	Sequoiadendron_giganteum	Taxus_chinensis	Vitis_vinifera	Welwitschia_mirabilis	Zostera_marina
N21.HOG0000056	OG0000000	n1289			Betpen_Bpev01.c1471.g0002.m0001																					
N21.HOG0000057	OG0000000	n1299			Betpen_Bpev01.c1049.g0003.m0001			Cucsa.198490.1.v1.122 gene=Cucsa.198490.v1 seq_id=scaffold01357 type=cds																		
N21.HOG0000058	OG0000000	n1379			Betpen_Bpev01.c0404.g0019.m0001			Cucsa.065570.1.v1.122 gene=Cucsa.065570.v1 seq_id=scaffold00696 type=cds																		
N21.HOG0000059	OG0000000	n1411			Betpen_Bpev01.c0364.g0024.m0001			Cucsa.167510.1.v1.122 gene=Cucsa.167510.v1 seq_id=scaffold01154 type=cds																		
N21.HOG0000060	OG0000000	n1433			Betpen_Bpev01.c0452.g0027.m0001																					
N21.HOG0000061	OG0000000	n1447			Betpen_Bpev01.c1527.g0005.m0001																					
N21.HOG0000062	OG0000000	n1470			Betpen_Bpev01.c0135.g0044.m0001			Cucsa.397850.1.v1.122 gene=Cucsa.397850.v1 seq_id=scaffold04158 type=cds																		
N21.HOG0000063	OG0000000	n1504			Betpen_Bpev01.c0634.g0004.m0001																					
N21.HOG0000064	OG0000000	n1595			Betpen_Bpev01.c1579.g0011.m0001			Cucsa.250880.1.v1.122 gene=Cucsa.250880.v1 seq_id=scaffold02229 type=cds																		
N21.HOG0000065	OG0000000	n1610			Betpen_Bpev01.c0633.g0005.m0001																					
N21.HOG0000066	OG0000000	n1661			Betpen_Bpev01.c0046.g0008.m0001			Cucsa.200120.1.v1.122 gene=Cucsa.200120.v1 seq_id=scaffold01365 type=cds																		
N21.HOG0000067	OG0000000	n1684			Betpen_Bpev01.c0051.g0008.m0001																					
N21.HOG0000068	OG0000000	n1692			Betpen_Bpev01.c0051.g0009.m0001																					
N21.HOG0000069	OG0000000	n1764			Betpen_Bpev01.c0918.g0012.m0001			Cucsa.050960.1.v1.122 gene=Cucsa.050960.v1 seq_id=scaffold00557 type=cds																		
N21.HOG0000070	OG0000000	n1773						Cucsa.053900.1.v1.122 gene=Cucsa.053900.v1 seq_id=scaffold00582 type=cds																		
N21.HOG0000071	OG0000000	n1785			Betpen_Bpev01.c0327.g0053.m0001																					
N21.HOG0000072	OG0000000	n1815			Betpen_Bpev01.c0015.g0206.m0001			Cucsa.357460.1.v1.122 gene=Cucsa.357460.v1 seq_id=scaffold03578 type=cds																		
N21.HOG0000073	OG0000000	n1835			Betpen_Bpev01.c1250.g0002.m0001																					
N21.HOG0000074	OG0000000	n1919			Betpen_Bpev01.c0063.g0011.m0001			Cucsa.271160.1.v1.122 gene=Cucsa.271160.v1 seq_id=scaffold02500 type=cds																		
N21.HOG0000075	OG0000000	n1967			Betpen_Bpev01.c0585.g0001.m0001																					
N21.HOG0000076	OG0000000	n1973			Betpen_Bpev01.c0584.g0006.m0001, Betpen_Bpev01.c1051.g0004.m0001, Betpen_Bpev01.c0585.g0002.m0001																					
N21.HOG0000077	OG0000000	n1994			Betpen_Bpev01.c0029.g0082.m0001			Cucsa.336910.1.v1.122 gene=Cucsa.336910.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0000078	OG0000000	n2012			Betpen_Bpev01.c2692.g0003.m0001			Cucsa.364570.1.v1.122 gene=Cucsa.364570.v1 seq_id=scaffold03611 type=cds																		
N21.HOG0000079	OG0000000	n2045			Betpen_Bpev01.c0083.g0014.m0001			Cucsa.319460.1.v1.122 gene=Cucsa.319460.v1 seq_id=scaffold03078 type=cds																		
N21.HOG0000080	OG0000000	n2066			Betpen_Bpev01.c0029.g0061.m0001, Betpen_Bpev01.c0029.g0061.m0002			Cucsa.242960.1.v1.122 gene=Cucsa.242960.1.v1 seq_id=scaffold02047 type=cds																		
N21.HOG0000081	OG0000000	n2127			Betpen_Bpev01.c1632.g0003.m0001			Cucsa.284280.1.v1.122 gene=Cucsa.284280.v1 seq_id=scaffold02653 type=cds																		
N21.HOG0000082	OG0000000	n2144			Betpen_Bpev01.c0027.g0150.m0001			Cucsa.095330.1.v1.122 gene=Cucsa.095330.v1 seq_id=scaffold00919 type=cds																		
N21.HOG0000083	OG0000000	n2215						Cucsa.337920.1.v1.122 gene=Cucsa.337920.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0000084	OG0000000	n2236			Betpen_Bpev01.c0257.g0029.m0001			Cucsa.159860.1.v1.122 gene=Cucsa.159860.v1 seq_id=scaffold01144 type=cds, Cucsa.159650.1.v1.122 gene=Cucsa.159650.v1 seq_id=scaffold01144 type=cds																		
N21.HOG0000085	OG0000000	n2284			Betpen_Bpev01.c0454.g0014.m0001			Cucsa.178550.1.v1.122 gene=Cucsa.178550.v1 seq_id=scaffold01227 type=cds																		
N21.HOG0000086	OG0000000	n2302						Cucsa.086910.1.v1.122 gene=Cucsa.086910.v1 seq_id=scaffold00873 type=cds																		
N21.HOG0000087	OG0000000	n2341			Betpen_Bpev01.c2077.g0005.m0001			Cucsa.111470.1.v1.122 gene=Cucsa.111470.v1 seq_id=scaffold00953 type=cds																		
N21.HOG0000088	OG0000000	n2365			Betpen_Bpev01.c0332.g0012.m0001																					
N21.HOG0000089	OG0000000	n2389			Betpen_Bpev01.c0000.g0080.m0001			Cucsa.321210.1.v1.122 gene=Cucsa.321210.v1 seq_id=scaffold03080 type=cds																		
N21.HOG0000090	OG0000000	n2411			Betpen_Bpev01.c1006.g0018.m0001			Cucsa.358700.1.v1.122 gene=Cucsa.358700.v1 seq_id=scaffold03586 type=cds																		
N21.HOG0000091	OG0000000	n2432			Betpen_Bpev01.c0327.g0023.m0001			Cucsa.241300.1.v1.122 gene=Cucsa.241300.v1 seq_id=scaffold02047 type=cds																		
N21.HOG0000092	OG0000001	n24			Betpen_Bpev01.c0357.g0062.m0001, Betpen_Bpev01.c0357.g0061.m0001																					
N21.HOG0000093	OG0000001	n41			Betpen_Bpev01.c0281.g0085.m0002, Betpen_Bpev01.c0281.g0085.m0003, Betpen_Bpev01.c0281.g0085.m0001																					
N21.HOG0000094	OG0000001	n60						Cucsa.338590.1.v1.122 gene=Cucsa.338590.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0000095	OG0000001	n81			Betpen_Bpev01.c0027.g0129.m0001			Cucsa.258270.1.v1.122 gene=Cucsa.258270.v1 seq_id=scaffold02229 type=cds																		
N21.HOG0000096	OG0000001	n101			Betpen_Bpev01.c1727.g0001.m0001																					
N21.HOG0000097	OG0000001	n156			Betpen_Bpev01.c0265.g0013.m0001																					
N21.HOG0000098	OG0000001	n175			Betpen_Bpev01.c0000.g0174.m0001																					
N21.HOG0000099	OG0000001	n219						Cucsa.312940.1.v1.122 gene=Cucsa.312940.v1 seq_id=scaffold02995 type=cds																		
N21.HOG0000100	OG0000001	n242			Betpen_Bpev01.c1562.g0004.m0001																					
N21.HOG0000101	OG0000001	n251			Betpen_Bpev01.c0074.g0011.m0001																					
N21.HOG0000102	OG0000001	n266						Cucsa.115620.1.v1.122 gene=Cucsa.115620.v1 seq_id=scaffold00988 type=cds																		
N21.HOG0000103	OG0000001	n270			Betpen_Bpev01.c0145.g0045.m0001			Cucsa.375180.1.v1.122 gene=Cucsa.375180.v1 seq_id=scaffold03746 type=cds, Cucsa.006170.1.v1.122 gene=Cucsa.006170.v1 seq_id=scaffold00067 type=cds																		
N21.HOG0000104	OG0000001	n301			Betpen_Bpev01.c1040.g0003.m0001																					
N21.HOG0000105	OG0000001	n338						Cucsa.126220.1.v1.122 gene=Cucsa.126220.v1 seq_id=scaffold01017 type=cds																		
N21.HOG0000106	OG0000001	n361			Betpen_Bpev01.c0241.g0007.m0001																					
N21.HOG0000107	OG0000001	n381						Cucsa.148040.1.v1.122 gene=Cucsa.148040.v1 seq_id=scaffold01107 type=cds																		
N21.HOG0000108	OG0000001	n389			Betpen_Bpev01.c0106.g0005.m0001			Cucsa.197410.1.v1.122 gene=Cucsa.197410.v1 seq_id=scaffold01357 type=cds																		
N21.HOG0000109	OG0000001	n406			Betpen_Bpev01.c0094.g0068.m0001			Cucsa.339230.1.v1.122 gene=Cucsa.339230.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0000110	OG0000001	n448			Betpen_Bpev01.c0668.g0007.m0001																					
N21.HOG0000111	OG0000001	n490			Betpen_Bpev01.c0549.g0004.m0001			Cucsa.228000.1.v1.122 gene=Cucsa.228000.v1 seq_id=scaffold01933 type=cds																		
N21.HOG0000112	OG0000001	n577			Betpen_Bpev01.c1499.g0007.m0001																					
N21.HOG0000113	OG0000001	n582			Betpen_Bpev01.c0197.g0006.m0001																					
N21.HOG0000114	OG0000001	n601			Betpen_Bpev01.c0145.g0004.m0001																					
N21.HOG0000115	OG0000001	n623						Cucsa.255390.1.v1.122 gene=Cucsa.255390.v1 seq_id=scaffold02229 type=cds																		
N21.HOG0000116	OG0000001	n645						Cucsa.096800.1.v1.122 gene=Cucsa.096800.v1 seq_id=scaffold00919 type=cds																		
N21.HOG0000117	OG0000001	n649			Betpen_Bpev01.c0420.g0028.m0001																					
N21.HOG0000118	OG0000001	n654			Betpen_Bpev01.c0739.g0017.m0001																					
N21.HOG0000119	OG0000001	n663						Cucsa.069500.1.v1.122 gene=Cucsa.069500.v1 seq_id=scaffold00714 type=cds																		
N21.HOG0000120	OG0000001	n700			Betpen_Bpev01.c0777.g0019.m0001																					
N21.HOG0000121	OG0000001	n711			Betpen_Bpev01.c0404.g0024.m0001																					
N21.HOG0000122	OG0000001	n721						Cucsa.195180.1.v1.122 gene=Cucsa.195180.v1 seq_id=scaffold01349 type=cds, Cucsa.065530.1.v1.122 gene=Cucsa.065530.v1 seq_id=scaffold00696 type=cds																		
N21.HOG0000123	OG0000001	n722						Cucsa.127860.1.v1.122 gene=Cucsa.127860.v1 seq_id=scaffold01024 type=cds																		
N21.HOG0000124	OG0000001	n733			Betpen_Bpev01.c0170.g0023.m0001			Cucsa.303440.1.v1.122 gene=Cucsa.303440.v1 seq_id=scaffold02951 type=cds																		
N21.HOG0000125	OG0000001	n760			Betpen_Bpev01.c1280.g0003.m0001, Betpen_Bpev01.c0095.g0025.m0001			Cucsa.340960.1.v1.122 gene=Cucsa.340960.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0000126	OG0000001	n807			Betpen_Bpev01.c0126.g0042.m0001			Cucsa.196550.1.v1.122 gene=Cucsa.196550.v1 seq_id=scaffold01357 type=cds, Cucsa.098700.1.v1.122 gene=Cucsa.098700.v1 seq_id=scaffold00923 type=cds																		
N21.HOG0000127	OG0000001	n836			Betpen_Bpev01.c1527.g0007.m0001																					
N21.HOG0000128	OG0000001	n842			Betpen_Bpev01.c0918.g0016.m0001																					
N21.HOG0000129	OG0000001	n916			Betpen_Bpev01.c1058.g0002.m0001, Betpen_Bpev01.c0443.g0010.m0001																					
N21.HOG0000130	OG0000001	n950			Betpen_Bpev01.c0095.g0026.m0001																					
N21.HOG0000131	OG0000001	n990			Betpen_Bpev01.c0386.g0013.m0001			Cucsa.148580.1.v1.122 gene=Cucsa.148580.v1 seq_id=scaffold01107 type=cds																		
N21.HOG0000132	OG0000001	n997			Betpen_Bpev01.c0565.g0011.m0001			Cucsa.060080.1.v1.122 gene=Cucsa.060080.v1 seq_id=scaffold00621 type=cds																		
N21.HOG0000133	OG0000001	n1095			Betpen_Bpev01.c0145.g0019.m0001, Betpen_Bpev01.c2315.g0007.m0001, Betpen_Bpev01.c0145.g0020.m0001																					
N21.HOG0000134	OG0000001	n1137			Betpen_Bpev01.c0452.g0029.m0001																					
N21.HOG0000135	OG0000001	n1148			Betpen_Bpev01.c0126.g0011.m0001			Cucsa.132300.1.v1.122 gene=Cucsa.132300.v1 seq_id=scaffold01037 type=cds																		
N21.HOG0000136	OG0000001	n1204			Betpen_Bpev01.c0045.g0018.m0001			Cucsa.340790.1.v1.122 gene=Cucsa.340790.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0000137	OG0000001	n1215			Betpen_Bpev01.c0894.g0005.m0001																					
N21.HOG0000138	OG0000001	n1227			Betpen_Bpev01.c0037.g0032.m0001, Betpen_Bpev01.c1161.g0005.m0001, Betpen_Bpev01.c0000.g0029.m0001, Betpen_Bpev01.c0000.g0030.m0001																					
N21.HOG0000139	OG0000001	n1259			Betpen_Bpev01.c2398.g0002.m0001																					
N21.HOG0000140	OG0000001	n1281			Betpen_Bpev01.c0913.g0004.m0001																					
N21.HOG0000141	OG0000001	n1292			Betpen_Bpev01.c0744.g0012.m0001																					
N21.HOG0000142	OG0000001	n1322			Betpen_Bpev01.c0154.g0004.m0001																					
N21.HOG0000143	OG0000001	n1367			Betpen_Bpev01.c0237.g0004.m0001																					
N21.HOG0000144	OG0000001	n1380			Betpen_Bpev01.c0051.g0106.m0001																					
N21.HOG0000145	OG0000001	n1391			Betpen_Bpev01.c0045.g0015.m0001																					
N21.HOG0000146	OG0000001	n1397			Betpen_Bpev01.c0051.g0109.m0001																					
N21.HOG0000147	OG0000001	n1402			Betpen_Bpev01.c0051.g0107.m0001																					
N21.HOG0000148	OG0000001	n1404			Betpen_Bpev01.c0894.g0002.m0001																					
N21.HOG0000149	OG0000001	n1502			Betpen_Bpev01.c1170.g0018.m0001																					
N21.HOG0000150	OG0000001	n1536			Betpen_Bpev01.c0469.g0012.m0001																					
N21.HOG0000151	OG0000001	n1540			Betpen_Bpev01.c0469.g0010.m0001																					
N21.HOG0000152	OG0000001	n1545			Betpen_Bpev01.c0469.g0013.m0001																					
N21.HOG0000153	OG0000001	n1554			Betpen_Bpev01.c1687.g0007.m0001			Cucsa.148070.1.v1.122 gene=Cucsa.148070.v1 seq_id=scaffold01107 type=cds																		
N21.HOG0000154	OG0000001	n1563			Betpen_Bpev01.c0214.g0011.m0001			Cucsa.118450.1.v1.122 gene=Cucsa.118450.v1 seq_id=scaffold00998 type=cds																		
N21.HOG0000155	OG0000001	n1601						Cucsa.388490.1.v1.122 gene=Cucsa.388490.v1 seq_id=scaffold03967 type=cds, Cucsa.383620.1.v1.122 gene=Cucsa.383620.v1 seq_id=scaffold03882 type=cds																		
N21.HOG0000156	OG0000001	n1619			Betpen_Bpev01.c0350.g0017.m0001																					
N21.HOG0000157	OG0000001	n1625			Betpen_Bpev01.c0050.g0110.m0001																					
N21.HOG0000158	OG0000001	n1649						Cucsa.053600.1.v1.122 gene=Cucsa.053600.v1 seq_id=scaffold00581 type=cds																		
N21.HOG0000159	OG0000001	n1656			Betpen_Bpev01.c0753.g0004.m0001																					
N21.HOG0000160	OG0000001	n1667			Betpen_Bpev01.c0469.g0003.m0001																					
N21.HOG0000161	OG0000001	n1668			Betpen_Bpev01.c0089.g0018.m0001																					
N21.HOG0000162	OG0000001	n1672			Betpen_Bpev01.c0441.g0010.m0001			Cucsa.022180.1.v1.122 gene=Cucsa.022180.v1 seq_id=scaffold00313 type=cds, Cucsa.337320.1.v1.122 gene=Cucsa.337320.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0000163	OG0000001	n1710			Betpen_Bpev01.c0281.g0058.m0001																					
N21.HOG0000164	OG0000001	n1721			Betpen_Bpev01.c1673.g0006.m0001																					
N21.HOG0000165	OG0000001	n1747						Cucsa.112760.1.v1.122 gene=Cucsa.112760.v1 seq_id=scaffold00953 type=cds																		
N21.HOG0000166	OG0000001	n1748						Cucsa.197670.1.v1.122 gene=Cucsa.197670.v1 seq_id=scaffold01357 type=cds																		
N21.HOG0000167	OG0000002	n21						Cucsa.356170.1.v1.122 gene=Cucsa.356170.v1 seq_id=scaffold03577 type=cds, Cucsa.067580.1.v1.122 gene=Cucsa.067580.v1 seq_id=scaffold00699 type=cds																		
N21.HOG0000168	OG0000002	n27						Cucsa.031900.1.v1.122 gene=Cucsa.031900.v1 seq_id=scaffold00429 type=cds, Cucsa.138160.1.v1.122 gene=Cucsa.138160.v1 seq_id=scaffold01062 type=cds																		
N21.HOG0000169	OG0000002	n30						Cucsa.183390.1.v1.122 gene=Cucsa.183390.v1 seq_id=scaffold01261 type=cds, Cucsa.163250.1.v1.122 gene=Cucsa.163250.v1 seq_id=scaffold01144 type=cds, Cucsa.029940.1.v1.122 gene=Cucsa.029940.v1 seq_id=scaffold00399 type=cds, Cucsa.032890.1.v1.122 gene=Cucsa.032890.v1 seq_id=scaffold00429 type=cds, Cucsa.034750.1.v1.122 gene=Cucsa.034750.v1 seq_id=scaffold00444 type=cds, Cucsa.185250.1.v1.122 gene=Cucsa.185250.v1 seq_id=scaffold01274 type=cds, Cucsa.183430.1.v1.122 gene=Cucsa.183430.v1 seq_id=scaffold01261 type=cds																		
N21.HOG0000170	OG0000002	n49						Cucsa.007190.1.v1.122 gene=Cucsa.007190.v1 seq_id=scaffold00089 type=cds, Cucsa.394220.1.v1.122 gene=Cucsa.394220.v1 seq_id=scaffold04100 type=cds, Cucsa.339850.1.v1.122 gene=Cucsa.339850.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0000171	OG0000002	n261			Betpen_Bpev01.c1379.g0005.m0001			Cucsa.365550.1.v1.122 gene=Cucsa.365550.v1 seq_id=scaffold03611 type=cds, Cucsa.028790.1.v1.122 gene=Cucsa.028790.v1 seq_id=scaffold00391 type=cds, Cucsa.058630.1.v1.122 gene=Cucsa.058630.v1 seq_id=scaffold00614 type=cds, Cucsa.374720.1.v1.122 gene=Cucsa.374720.v1 seq_id=scaffold03735 type=cds, Cucsa.390840.1.v1.122 gene=Cucsa.390840.v1 seq_id=scaffold04031 type=cds																		
N21.HOG0000172	OG0000002	n345						Cucsa.239190.1.v1.122 gene=Cucsa.239190.v1 seq_id=scaffold02046 type=cds																		
N21.HOG0000173	OG0000002	n400						Cucsa.086200.1.v1.122 gene=Cucsa.086200.v1 seq_id=scaffold00870 type=cds																		
N21.HOG0000174	OG0000002	n487						Cucsa.352070.1.v1.122 gene=Cucsa.352070.v1 seq_id=scaffold03533 type=cds																		
